#Epoch 	  Loss mean 	 free energy mean 	 reconstruction error mean	 validation free energy mean 	 comparison_free_energy_mean
0	-1.82352088377	-65.4184656283	0.397464802704	-78.8456875744	-78.9173365593
1	-1.25271526559	-84.9864898944	0.360872697611	-90.3214170979	-90.3997757034
2	-0.755014603268	-95.8341932391	0.349265460654	-99.147445166	-99.283934168
3	-0.698145557707	-103.01482283	0.344960197681	-105.425247505	-105.5370997
4	-0.549098794312	-108.163952875	0.341019736277	-109.435324642	-109.566149267
5	-0.439308327888	-111.994006084	0.33783388119	-114.017587042	-114.075896861
6	-0.326645587346	-115.30917684	0.334357401446	-116.667850816	-116.750763458
7	-0.255929449844	-117.958865477	0.33280098661	-118.764515531	-118.845253459
8	-0.187966806094	-120.183396478	0.330339637807	-120.560635325	-120.672385948
9	-0.175247695946	-122.33651633	0.328824670942	-123.593862168	-123.643467219
10	-0.134947699866	-124.310900349	0.326810361806	-124.596663037	-124.71015263
11	-0.128949948609	-126.02762761	0.324562664848	-126.772811661	-126.876015184
12	-0.100068707998	-127.670560754	0.323118257146	-128.50779056	-128.606262414
13	-0.0844261217616	-129.256287888	0.321086348672	-129.972500142	-130.031872284
14	-0.0601087358106	-130.643054273	0.318410197967	-131.157167696	-131.256474513
15	-0.0611001271042	-132.037250745	0.316724835226	-132.332947975	-132.416834003
16	-0.0324624737867	-133.453702938	0.314767434126	-134.164083249	-134.261411194
17	-0.0310224492566	-134.818121611	0.312187500282	-135.353831891	-135.472945501
18	-0.00893473378754	-136.161518513	0.310344901587	-136.600191189	-136.69248472
19	0.00796379228125	-137.496952269	0.308365460446	-137.392685032	-137.53923342
20	0.0195682655126	-138.632946776	0.306505263103	-139.018266587	-139.130461732
21	0.0219500497403	-139.751184745	0.304140789352	-140.575821493	-140.66645417
22	0.0468439403319	-140.979939391	0.302241118331	-142.869580231	-142.95126365
23	0.0558255595465	-142.19544091	0.300535855011	-143.740150374	-143.807963122
24	0.0643327663783	-143.280023994	0.299370395008	-143.973908225	-144.074107336
25	0.0682463027475	-144.301211655	0.29729144774	-144.653214032	-144.750541258
26	0.0820199533171	-145.350151004	0.295506907262	-146.226710342	-146.313834305
27	0.0912520332398	-146.297303717	0.293775493314	-146.165390724	-146.309586711
28	0.0786132945371	-147.17910327	0.292459703872	-146.835058378	-146.96789789
29	0.0961774946526	-148.002684996	0.290693585088	-147.802255968	-147.945865526
30	0.0989029705493	-148.789830357	0.289395723688	-149.534578165	-149.614113359
31	0.0881253484342	-149.509386587	0.287784539524	-150.186023526	-150.290982419
32	0.110004559069	-150.32930901	0.286643421054	-150.081395325	-150.212905806
33	0.1201321739	-151.016194767	0.285003289769	-151.598428337	-151.695675685
34	0.114760932219	-151.772688131	0.283670394593	-152.111623593	-152.236128347
35	0.109327080985	-152.427345678	0.28224720431	-152.57169804	-152.707841488
36	0.123795057372	-152.898841787	0.281352631261	-153.62235815	-153.710677881
37	0.116872210685	-153.561137251	0.280249999683	-153.650639152	-153.782538728
38	0.116006038411	-154.156696024	0.279130098381	-153.856303701	-154.01033268
39	0.128037037364	-154.819510378	0.277916447301	-155.522463366	-155.654291414
