#Epoch 	  Loss mean 	 free energy mean 	 reconstruction error mean	 validation free energy mean 	 comparison_free_energy_mean
0	-2.89017354944	-36.951303325	0.499872697278	-31.2059435988	-31.121353585
1	-4.59254639925	-35.1908955475	0.457187664603	-41.1490708492	-40.981425875
2	-2.49768907868	-45.1496898214	0.412990132006	-49.3322963173	-49.1453525044
3	-1.92400436229	-52.2968797533	0.400749835592	-55.3026289969	-55.1047565191
4	-2.07334772843	-58.1051308231	0.396136349095	-60.9740488353	-60.7739552697
5	-3.21313461803	-63.9893445352	0.395593092347	-66.7094395704	-66.4796662441
6	-2.96771332989	-68.8694898178	0.38671940769	-70.7272022518	-70.4762106517
7	-1.7395751961	-72.551833069	0.372951644659	-74.4088185879	-74.1446109236
8	-1.31701016952	-75.733075798	0.367784867883	-77.2811728793	-77.0136313462
9	-1.24830644894	-78.6132652429	0.36551332204	-80.080046198	-79.8178379553
10	-1.33586795115	-81.3091294325	0.36459309214	-82.6482500985	-82.384904541
11	-1.51144759346	-83.7829897595	0.363841118593	-85.2161673705	-84.9605803299
12	-1.67397055262	-86.0643731722	0.36296743462	-86.9513002232	-86.7065076845
13	-1.68953835145	-87.9403334961	0.361389309231	-89.0392531283	-88.7927775107
14	-1.50887078332	-89.4891222597	0.358850822166	-90.6336870991	-90.3884312997
15	-1.25947568455	-90.7197338023	0.355939309189	-91.6850334228	-91.4382880299
16	-1.0189988044	-91.8416846519	0.353346381187	-92.1342759546	-91.9053425757
17	-0.898168253072	-92.8883109929	0.352037499798	-93.6418530277	-93.4003272158
18	-0.828620082816	-93.8854173231	0.351250328829	-94.3025872859	-94.0660238516
19	-0.78700810679	-94.781580392	0.350258717192	-95.2703829165	-95.0301869141
20	-0.802151575711	-95.6442092635	0.349455098384	-95.8843863965	-95.6432179037
21	-0.792063784978	-96.4100565152	0.34899588861	-96.9287173419	-96.6896368756
22	-0.810816393043	-97.2091676431	0.348302138479	-97.7351967157	-97.4981024511
23	-0.832002916911	-97.9570642858	0.348586348578	-98.3229865912	-98.0977650859
24	-0.860872398564	-98.6515733434	0.347714638083	-99.2103676664	-98.9687268502
25	-0.878415942053	-99.3109135427	0.347023519717	-99.7168070048	-99.4816441351
26	-0.889771141382	-99.9461305544	0.346834374635	-100.51826562	-100.288482879
27	-0.890935528428	-100.545307558	0.346489145003	-100.977992477	-100.746624105
28	-0.856509933839	-101.165653339	0.345680757008	-101.517761024	-101.281409273
29	-0.856814257432	-101.70605887	0.345447862054	-101.694692853	-101.46504559
30	-0.826422069729	-102.261979605	0.345008223496	-102.417505762	-102.182760871
31	-0.817688555244	-102.774435328	0.344548190581	-102.850115128	-102.623143659
32	-0.790380113053	-103.279010575	0.343363651414	-103.530949974	-103.298150474
33	-0.7521268805	-103.812561665	0.343347697634	-103.979525915	-103.755023627
34	-0.756988982215	-104.208875957	0.342479276187	-104.845972981	-104.612258475
35	-0.73631916448	-104.708232341	0.342071546348	-105.064354846	-104.833305232
36	-0.725592013462	-105.129335102	0.341262335777	-105.22135504	-104.997474136
37	-0.71932872891	-105.635658085	0.341372039977	-105.928068605	-105.700560844
38	-0.732131659165	-106.072813598	0.340743421128	-106.513024231	-106.284570659
39	-0.70900696904	-106.521509968	0.340454441027	-106.874869269	-106.648348269
40	-0.6933441223	-106.922378164	0.339651972777	-107.30247796	-107.079288266
41	-0.72197073396	-107.338170776	0.339774177765	-107.448430036	-107.228717051
42	-0.721959835106	-107.718145676	0.339243750164	-108.152704545	-107.930356091
43	-0.714390941112	-108.092305901	0.338734704476	-108.266996423	-108.046147799
44	-0.71511785833	-108.558171557	0.338477302633	-109.010938179	-108.786722938
45	-0.684491782398	-108.977848714	0.338225493211	-109.276942086	-109.06042193
46	-0.680708067942	-109.369153977	0.337941118196	-109.449982522	-109.226731886
47	-0.644222567183	-109.698318545	0.337500657878	-110.237334883	-110.007769619
48	-0.665673286636	-110.07706138	0.337417105311	-110.152502197	-109.927051146
49	-0.613896521094	-110.45577537	0.336640295951	-110.630554422	-110.404108562
50	-0.604162088488	-110.793310171	0.336172532753	-110.865687323	-110.640780733
51	-0.570695083195	-111.087458974	0.335799177822	-111.378278112	-111.157063244
52	-0.58259707324	-111.449079018	0.335837171078	-111.878759911	-111.648379429
53	-0.556919906117	-111.793603927	0.335075657776	-111.953287398	-111.735028421
54	-0.530631675837	-112.136982306	0.335108388004	-112.418892586	-112.20138392
55	-0.520244644485	-112.386723473	0.334567433941	-112.475645324	-112.261742503
56	-0.514666013394	-112.753339113	0.334388486367	-112.800097919	-112.570705529
57	-0.490268231627	-113.03413286	0.334463486452	-113.306841481	-113.085486481
58	-0.484361814001	-113.366291211	0.333811677663	-113.475911338	-113.254582305
59	-0.468119403756	-113.655989945	0.333616611644	-113.781591826	-113.555429435
60	-0.438923822078	-113.93458451	0.333190624651	-114.000393784	-113.780680728
61	-0.41171204241	-114.231476353	0.332774341922	-114.482873777	-114.257179251
62	-0.43664853273	-114.515395635	0.332530098401	-114.865184746	-114.649527587
63	-0.41829016587	-114.78412073	0.332910197189	-115.297603367	-115.067109471
64	-0.408275411449	-115.069369374	0.332561348269	-115.045315064	-114.825222323
65	-0.400941591556	-115.345908557	0.331687993407	-115.55804313	-115.33821225
66	-0.399707922148	-115.600225988	0.331759868798	-115.880634865	-115.649682445
67	-0.388448763141	-115.842945986	0.331790131425	-116.397928213	-116.169696136
68	-0.368401907896	-116.083493323	0.33135657894	-116.343978833	-116.119722037
69	-0.366554638725	-116.302560598	0.331386513083	-116.569311571	-116.344260532
70	-0.370594339161	-116.588573216	0.331440460556	-116.777845368	-116.555398505
71	-0.370347629023	-116.85078916	0.331091612013	-116.950328454	-116.734879675
72	-0.367225955471	-117.043608528	0.330501809779	-117.185569249	-116.969898541
73	-0.366567303852	-117.251650773	0.330784539863	-117.089946325	-116.870255243
74	-0.354065346212	-117.44046843	0.330824835395	-117.525850498	-117.30397626
75	-0.3579306513	-117.628088074	0.330337828743	-117.641718362	-117.428369114
76	-0.33876817981	-117.860015317	0.330012664356	-118.018306053	-117.796901124
77	-0.36097415118	-118.104717218	0.330052960264	-118.538398933	-118.309663919
78	-0.34412657096	-118.311693054	0.329679769183	-118.55188382	-118.325976809
79	-0.353905249095	-118.530869251	0.329605921381	-118.823774026	-118.602253214
80	-0.354420452308	-118.76550546	0.329526315677	-118.708263385	-118.491369918
81	-0.332734534056	-118.923650072	0.328839473818	-119.056653235	-118.840689537
82	-0.335948973164	-119.153549736	0.328993749901	-119.483558726	-119.262340181
83	-0.338318915145	-119.332484741	0.328828782345	-119.428730747	-119.206962843
84	-0.328163848438	-119.512906618	0.329163486675	-119.689996475	-119.471004484
85	-0.360698288028	-119.713155308	0.328472532693	-119.967126174	-119.745721288
86	-0.332901316301	-119.94805133	0.328664309759	-119.788340697	-119.572960493
87	-0.308838739484	-120.140747281	0.328131579004	-120.133397991	-119.920347948
88	-0.330363062316	-120.309233906	0.328093256323	-120.684786611	-120.467006837
89	-0.336924768571	-120.480011462	0.32788980255	-120.593259218	-120.377749943
90	-0.32599252127	-120.694752305	0.327647203772	-120.746162622	-120.533568081
91	-0.334659132741	-120.869822052	0.327834375469	-120.722578521	-120.50393751
92	-0.30214194847	-121.040941052	0.32689572441	-121.612362379	-121.380561001
93	-0.33309101462	-121.278972715	0.327115624861	-121.33981509	-121.123507335
94	-0.301913197796	-121.455149727	0.327100328866	-121.511357991	-121.292205448
95	-0.329010427588	-121.689794386	0.326886183965	-121.513443881	-121.300634802
96	-0.304854234829	-121.859779449	0.326887993875	-122.177733194	-121.960107306
97	-0.302205065192	-122.059250146	0.326222368322	-122.452026923	-122.235837876
98	-0.302964104697	-122.249226458	0.32676414449	-122.092915647	-121.878996842
99	-0.30227784709	-122.389936951	0.32604588838	-122.625993206	-122.409442397
100	-0.303771074112	-122.546778599	0.326192763165	-122.671387242	-122.458011163
101	-0.301846777003	-122.73825738	0.325758388074	-122.862897299	-122.643618757
102	-0.332971019166	-122.890897682	0.325788157676	-123.050784386	-122.835232714
103	-0.314582084255	-123.082349861	0.325735361231	-123.306711258	-123.088057319
104	-0.322057151739	-123.28283032	0.325596216635	-123.383861856	-123.16297566
105	-0.287309568507	-123.442771994	0.325339144562	-123.57463597	-123.357696906
106	-0.309440971059	-123.60618253	0.325298684334	-123.620784341	-123.414883387
107	-0.315351689906	-123.789884757	0.325072204	-123.839076247	-123.631995558
108	-0.275943809174	-123.942713792	0.324586677771	-123.965348446	-123.748345255
109	-0.303841804269	-124.107333182	0.325009045883	-124.297928676	-124.078550188
110	-0.291685400953	-124.266299883	0.324615625331	-124.624227032	-124.409019904
111	-0.305411083524	-124.431581667	0.324159046412	-124.488948257	-124.273477063
112	-0.294797361133	-124.64945477	0.324184374966	-124.842246018	-124.620788945
113	-0.299760425023	-124.802764337	0.32407549353	-124.976663587	-124.75901717
114	-0.301611001274	-124.953915284	0.323803618299	-125.255271912	-125.034264621
115	-0.294244901074	-125.120379614	0.323415131977	-125.498527274	-125.280030379
116	-0.294596156571	-125.338815348	0.323665789272	-125.422549422	-125.210073831
117	-0.288989352487	-125.497232872	0.32379194084	-125.649116831	-125.42685357
118	-0.274274157606	-125.656514623	0.322967105571	-125.935377911	-125.718553172
119	-0.306813260789	-125.781831646	0.32314407929	-125.887365878	-125.675904631
120	-0.291433555116	-125.988362457	0.322308881471	-126.261545992	-126.044549811
121	-0.285586788852	-126.122186369	0.322793749853	-126.091987604	-125.875451748
122	-0.310757438434	-126.287465659	0.3221422698	-126.257609719	-126.036666159
123	-0.287340659212	-126.374408768	0.322592434538	-126.242642448	-126.038342621
124	-0.262130645796	-126.599312563	0.321875987084	-126.758964279	-126.539761712
125	-0.321241475631	-126.725835932	0.322597861227	-126.840864272	-126.627008095
126	-0.263116104158	-126.913354373	0.321988980519	-127.056959543	-126.848477821
