#Epoch 	  Loss mean 	 free energy mean 	 reconstruction error mean	 validation free energy mean 	 comparison_free_energy_mean
0	-7.65329023292	-43.0308236284	0.454312006047	-52.4896027126	-52.4342692605
1	-4.56946475966	-61.1987584527	0.278258388717	-67.2000581221	-67.1018272946
2	-3.04909611257	-72.0811184055	0.244522203787	-75.9229113162	-75.8321544377
3	-2.39649233	-79.2907122619	0.231231414535	-82.6709607931	-82.573586812
4	-1.95504235976	-85.0105828788	0.223469900912	-87.1670025941	-87.1141974056
5	-1.73811145482	-89.9202813491	0.219095065782	-92.1637598008	-92.1073170493
6	-1.55250470016	-94.2966891677	0.21614901298	-95.9949654374	-95.966759708
7	-1.49453312924	-98.3812227645	0.214005427517	-100.414759412	-100.381282487
8	-1.47540146672	-102.27509916	0.212372204159	-103.960316302	-103.953204571
9	-1.58495026476	-105.974708336	0.211591447294	-107.602528695	-107.610154667
10	-1.81223033331	-109.514638026	0.211162171019	-111.151011992	-111.178306032
11	-2.14568111517	-113.167954254	0.21129407867	-114.352085747	-114.406564824
12	-2.41331863572	-116.637375978	0.211272039194	-118.425430883	-118.474958397
13	-2.26593375512	-120.008120145	0.208758388052	-121.592067194	-121.638754004
14	-1.84548698598	-123.038288236	0.203876315889	-124.377543747	-124.434045938
15	-1.52183526302	-125.755720704	0.199287006447	-126.790272948	-126.86614042
16	-1.31987824286	-128.277068218	0.196812335378	-129.398169339	-129.479883656
17	-1.25835559139	-130.638177872	0.194986842494	-131.787992994	-131.877159719
18	-1.20033517403	-132.839907679	0.193700000173	-133.239015468	-133.346783205
19	-1.14732191582	-134.809366882	0.19278042729	-135.913131448	-136.015795042
20	-1.12140397128	-136.707118058	0.191800658091	-137.232413727	-137.35015732
21	-1.12834998085	-138.302239748	0.191575328817	-139.219245632	-139.330530588
22	-1.12107243047	-139.871815164	0.191023355017	-140.601629283	-140.721620334
23	-1.12449354565	-141.200139521	0.190401973709	-141.507695011	-141.640083735
24	-1.10759299337	-142.422889405	0.189431907958	-142.851405007	-142.985064326
25	-1.12705688317	-143.587956697	0.189373848595	-144.185481881	-144.314333322
26	-1.08215700041	-144.645968844	0.188708717133	-144.973373821	-145.115728493
27	-1.08861159758	-145.552824179	0.18844555916	-145.961925793	-146.108069417
28	-1.05139456925	-146.531708865	0.188038815856	-146.741270125	-146.895134438
29	-1.0135017415	-147.403358336	0.187491447439	-147.589841516	-147.743944998
30	-0.963497625684	-148.230496557	0.187232894631	-148.547836923	-148.697168671
31	-0.908860040698	-148.997498838	0.1866809213	-149.109966695	-149.270283808
32	-0.871226862977	-149.687735	0.186239144786	-149.944421698	-150.097957667
33	-0.808900697658	-150.332876143	0.185891447428	-150.356878839	-150.523753356
34	-0.749519909669	-150.977584407	0.185632894714	-151.183856848	-151.346188614
35	-0.715284821893	-151.643204625	0.185053453885	-151.535044519	-151.709155916
36	-0.692261992712	-152.222399937	0.184791776256	-152.067376072	-152.241890789
37	-0.637648084012	-152.670668314	0.184607072394	-152.853423769	-153.02584132
38	-0.629221567323	-153.242339464	0.184218092231	-153.383018206	-153.554931328
39	-0.604629603246	-153.696317083	0.184152960683	-153.873603936	-154.043871469
40	-0.573861256607	-154.280183806	0.183819901269	-154.122007856	-154.301891054
41	-0.568272634848	-154.704485984	0.183812006665	-155.026028937	-155.190005154
42	-0.578559039405	-155.172285397	0.183747861903	-154.980348927	-155.16083203
43	-0.552877507181	-155.632058115	0.183575657873	-155.707153331	-155.881575909
44	-0.533569336433	-155.972813041	0.183204276185	-155.995413174	-156.175081443
45	-0.53754823889	-156.411842902	0.183339309112	-156.344767348	-156.52219156
46	-0.533324326744	-156.795275125	0.182893750197	-156.844198079	-157.023561691
47	-0.535466047087	-157.226303341	0.183086677727	-157.142125664	-157.328842643
48	-0.517125331573	-157.553340586	0.182858388047	-157.03750326	-157.230941891
49	-0.53167565613	-157.902240499	0.182773190894	-157.967467892	-158.139716406
50	-0.513688452782	-158.180181255	0.182722368334	-158.039399789	-158.22483537
51	-0.510280868833	-158.567594776	0.182888487107	-158.611090261	-158.78882994
52	-0.525862935898	-158.859198584	0.18280707237	-158.637200513	-158.825052098
53	-0.522274705461	-159.179404197	0.182387664475	-159.022853014	-159.206550208
54	-0.515606428375	-159.491741055	0.182499671124	-159.434499583	-159.61303764
55	-0.519087563656	-159.780423369	0.182326151258	-159.604905951	-159.795514218
56	-0.51066088902	-160.052337929	0.182163486841	-159.77217816	-159.956638021
57	-0.523796810934	-160.415606651	0.182212664187	-160.069573017	-160.252988415
58	-0.503494847127	-160.660861162	0.181967269731	-160.469012157	-160.653052027
59	-0.475751442309	-160.952542272	0.181924342105	-161.024408439	-161.202763225
60	-0.501200414158	-161.153087256	0.182044572234	-160.97276231	-161.154828611
61	-0.507079134917	-161.404448612	0.181779769785	-161.251016491	-161.430614997
62	-0.462193222884	-161.704866856	0.181673683712	-161.631391764	-161.804690312
63	-0.479168835216	-161.896595467	0.181660526269	-161.619521344	-161.810095819
64	-0.476742804396	-162.099800586	0.181368749973	-161.995547579	-162.181006562
65	-0.471668269195	-162.368649219	0.181332894768	-161.825196307	-162.015540256
66	-0.479443244933	-162.574153995	0.181313651283	-162.663537862	-162.833751276
67	-0.467916879204	-162.84316972	0.181427467026	-162.709510749	-162.887728006
68	-0.460533179524	-163.089891468	0.180959703562	-162.466469427	-162.66303344
69	-0.445238492513	-163.247933369	0.180884868565	-163.237456345	-163.418123423
70	-0.447124606979	-163.481539534	0.180869079107	-163.345080604	-163.528476048
71	-0.422508932496	-163.739194974	0.18070526305	-163.462776173	-163.64882088
72	-0.420286631897	-163.966431552	0.180777302526	-163.816971262	-163.998693884
73	-0.457126909883	-164.139001514	0.180781414493	-164.065764509	-164.243543079
74	-0.418553785135	-164.402051673	0.180659868435	-164.376047529	-164.551358603
75	-0.435443098043	-164.595865391	0.180614144896	-164.517117748	-164.696513376
76	-0.419410916339	-164.736894313	0.180204933945	-164.740430972	-164.917979883
77	-0.424500290924	-164.986455264	0.180516283057	-165.020732722	-165.195341007
78	-0.402960187334	-165.164846673	0.180404276252	-164.759654946	-164.948029846
79	-0.411762856152	-165.28977544	0.180228783018	-165.180805288	-165.359996624
80	-0.393554213043	-165.561228549	0.179814638386	-165.401889648	-165.583375264
81	-0.400830495509	-165.730187772	0.180142927703	-165.487979787	-165.676873065
82	-0.405514978146	-165.881569787	0.180125493564	-165.96190308	-166.132719892
83	-0.393161804209	-166.097685048	0.179911512983	-165.788544707	-165.975416695
84	-0.372603885103	-166.238366675	0.179657072378	-165.937435854	-166.118252538
85	-0.382468191458	-166.414126066	0.179957236867	-166.2203259	-166.403909477
86	-0.387692504203	-166.588368685	0.179662993252	-166.386706138	-166.569256592
87	-0.369254353189	-166.793151133	0.179693420969	-166.514575496	-166.69099397
88	-0.379590889343	-166.868687685	0.179322039579	-166.694257227	-166.875707309
89	-0.351250009131	-166.985084964	0.179605756433	-166.92931107	-167.113614944
90	-0.3880262564	-167.211720209	0.179397368274	-167.173320696	-167.345885706
91	-0.350009159966	-167.345149968	0.179236513031	-167.325945601	-167.504265931
92	-0.363268024279	-167.551278417	0.179261512976	-167.365363732	-167.54561476
93	-0.354358732535	-167.64560138	0.17911398003	-167.28508634	-167.467790028
94	-0.339551831108	-167.785185933	0.178949342276	-167.936423973	-168.107454188
95	-0.348319016404	-167.937124265	0.178733881524	-167.697246004	-167.87967353
96	-0.358303750162	-168.061194427	0.179091940883	-167.809065064	-167.989210684
97	-0.340418111414	-168.233533801	0.178875493517	-168.286109297	-168.462019726
98	-0.353056058612	-168.309379443	0.178609539568	-168.260390134	-168.438967261
99	-0.355186796643	-168.447562435	0.178596052574	-168.453010169	-168.630198513
100	-0.336903575458	-168.658301277	0.178437664509	-168.357035306	-168.534952189
101	-0.339671082862	-168.815032018	0.178333552762	-168.520862193	-168.697761781
102	-0.334177725474	-168.916077234	0.178743092057	-168.620176445	-168.807606624
103	-0.322997219303	-169.029477595	0.178678782912	-168.912365886	-169.093176211
104	-0.313983497808	-169.196876082	0.178165131729	-168.780096803	-168.970108781
105	-0.319680748527	-169.341112123	0.178671217137	-168.965904955	-169.154789913
106	-0.307080689683	-169.381716681	0.178531743351	-169.243509774	-169.427945903
107	-0.327667785581	-169.624896198	0.178176809204	-169.506796973	-169.687499781
108	-0.324776869516	-169.717789005	0.17818371732	-169.284522734	-169.473988566
109	-0.301820163559	-169.904209909	0.177786513269	-169.629868929	-169.816509729
110	-0.300910143436	-170.036306549	0.178141282624	-169.848047442	-170.027939189
111	-0.307163122648	-170.151782523	0.178085197524	-170.09665894	-170.276848027
112	-0.279198619967	-170.252636805	0.177898190821	-170.323067303	-170.501594327
113	-0.312139808009	-170.402637004	0.178102302598	-170.09261173	-170.278743723
114	-0.280384469137	-170.528923329	0.177767105103	-170.262352323	-170.448295181
115	-0.28125416264	-170.663374219	0.177779111862	-170.259099757	-170.446350317
116	-0.272446945355	-170.820400607	0.177865460625	-170.517818385	-170.700110694
117	-0.287410187498	-170.851645384	0.177789309464	-170.649319839	-170.834689139
118	-0.279142807027	-170.97952657	0.177799013288	-170.480699239	-170.668072013
119	-0.277809733891	-171.035435276	0.177415296169	-170.766429239	-170.951704658
120	-0.24879643781	-171.158054122	0.177287664319	-170.747963365	-170.937014445
121	-0.26996502632	-171.305757972	0.177452302559	-171.032952465	-171.219862752
122	-0.2812576699	-171.441233927	0.17749671042	-171.40698694	-171.586803732
123	-0.268402580961	-171.543571996	0.176923355209	-171.361387212	-171.54058258
124	-0.274492484231	-171.676352547	0.177368421272	-171.373793774	-171.561026512
125	-0.256741879235	-171.766712417	0.177269736983	-171.542606455	-171.728074525
126	-0.25177695604	-171.816327741	0.177032401075	-171.625722277	-171.80738356
127	-0.258589239069	-171.936864998	0.177216612054	-171.792780559	-171.971985276
128	-0.265901613328	-171.995674576	0.177133059078	-171.621529112	-171.809552558
129	-0.249152473345	-172.169875987	0.176987006711	-172.114144125	-172.293882366
130	-0.250797295573	-172.283790775	0.176783552656	-171.869155057	-172.058210061
131	-0.244355886478	-172.348860607	0.176913322226	-171.956731286	-172.145531549
132	-0.240116284825	-172.456168888	0.177012664644	-172.567016514	-172.744878426
133	-0.260796355084	-172.581536039	0.176669078752	-172.478941959	-172.663656427
134	-0.262194804147	-172.688434245	0.176915625051	-172.363808311	-172.549824994
135	-0.245126810252	-172.732157859	0.17674046038	-172.245303139	-172.438714301
136	-0.223458109225	-172.815016724	0.176423848711	-172.530919351	-172.716452106
137	-0.237458801072	-172.975988966	0.176895559305	-172.642990954	-172.830844047
138	-0.234384116727	-173.081375344	0.176621052591	-173.039577058	-173.219620453
139	-0.252250871907	-173.150831625	0.176659539577	-172.844031709	-173.032839283
140	-0.231597603673	-173.25993638	0.176268585716	-172.897459883	-173.090158715
141	-0.212940831393	-173.314315332	0.176161019379	-173.149056688	-173.333611108
142	-0.242536498616	-173.432300914	0.176701809121	-173.367906187	-173.549929976
143	-0.235972251805	-173.493252913	0.176432894876	-173.403429686	-173.589123603
144	-0.218243035653	-173.611963497	0.176449177391	-173.440098346	-173.616430322
145	-0.2264650802	-173.703926652	0.176312664512	-173.757665191	-173.931948273
146	-0.236010507058	-173.776237903	0.176349177345	-173.347694545	-173.542130823
147	-0.201305803241	-173.905800442	0.176058552657	-173.458271131	-173.649889049
148	-0.21475725773	-173.994271345	0.176371710646	-173.821850588	-174.004419369
149	-0.223196931346	-174.04216093	0.176367598694	-174.150311237	-174.323266866
150	-0.229631872835	-174.174530672	0.176112335403	-174.016693365	-174.200104696
151	-0.221042815862	-174.224435956	0.176317269645	-173.928524089	-174.112364907
152	-0.241170643143	-174.327741417	0.176281907998	-173.907737468	-174.09623374
153	-0.219137754331	-174.385139721	0.175690789489	-174.002892375	-174.193142943
154	-0.224485836015	-174.516816342	0.175866447358	-174.143182022	-174.330795639
155	-0.206631332615	-174.584035557	0.176020723832	-174.574636716	-174.750394929
156	-0.204985442172	-174.661394859	0.175818092196	-174.749061947	-174.924844267
157	-0.210943691537	-174.879321654	0.175484210739	-174.530281756	-174.719484854
158	-0.224875238145	-174.913508005	0.175975493506	-174.717565109	-174.900429746
159	-0.217589592151	-174.995403784	0.175935032885	-174.735591283	-174.917086784
160	-0.215090684302	-175.10752747	0.175786841857	-174.852471359	-175.037622079
161	-0.2049782881	-175.141049003	0.17565871692	-174.92747893	-175.110139993
162	-0.20966614072	-175.169956731	0.175637006493	-174.927564375	-175.116867954
163	-0.216563510135	-175.331078453	0.175764638233	-174.756594423	-174.94767419
164	-0.191832603095	-175.446251395	0.175402796206	-175.685953587	-175.854135365
165	-0.208288963078	-175.479113084	0.175510361775	-174.956224587	-175.149696923
166	-0.21541998297	-175.579512697	0.175301480183	-175.31340322	-175.501854924
167	-0.20569060662	-175.616795707	0.175452960698	-175.488727424	-175.671251776
168	-0.210196106763	-175.742541997	0.175669407735	-175.27372396	-175.466136947
169	-0.206095648391	-175.795773441	0.175476151109	-175.524155316	-175.714090222
170	-0.204023592238	-175.876767077	0.175337993252	-175.55598328	-175.746308711
171	-0.21647784268	-175.921587728	0.175528125245	-175.943864857	-176.120466733
172	-0.192986230874	-176.005055621	0.175249177641	-176.00238314	-176.176566879
173	-0.198279064357	-176.174744425	0.175478289519	-175.948994113	-176.130275015
174	-0.196326565179	-176.275073159	0.175101644961	-176.060474943	-176.241608743
175	-0.214821015784	-176.254539734	0.175281085513	-176.073470151	-176.253171183
176	-0.198419721835	-176.428499036	0.175013980536	-175.965516109	-176.151713535
